name,address_street,city,state,zip,phone,website,latitude,longitude
King Mobile Auction,"201 Newsome Rd., King, NC 27021 Get Directions",nan,NC,nan,919-284-4052,https://site.manheim.com/en/locations/us-locations/manheim-seattle.html,,
Manheim Charlotte,"287 Concord Parkway, Suite B, Concord, NC 28027 Get Directions",nan,NC,nan,704-978-2500,https://site.manheim.com/en/locations/us-locations/manheim-charlotte.html,,
Manheim North Carolina,"318 Bagley Road, Kenly, NC 27542 Get Directions",nan,NC,nan,919-284-4052,https://site.manheim.com/en/locations/us-locations/manheim-north-carolina.html,,
Manheim Statesville,"145 Auction Ln, Statesville, NC 28625-9009 Get Directions",nan,NC,nan,704-876-1111,https://site.manheim.com/en/locations/us-locations/manheim-statesville.html,,
Manheim Wilmington,"169 Auction Drive, Rocky Point, NC 28457 Get Directions",nan,NC,nan,910-338-3060,https://site.manheim.com/en/locations/us-locations/manheim-wilmington.html,,
