name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Albany,"459 Route 146, Clifton Park, NY 12065-0440 Get Directions",nan,NY,nan,518-371-7500,https://site.manheim.com/en/locations/us-locations/manheim-albany.html,,
Manheim New York,"2000 Dealer Dr, Newburgh, NY 12550-5067 Get Directions",nan,NY,nan,845-567-8400,https://site.manheim.com/en/locations/us-locations/manheim-new-york.html,,
Manheim Rochester,"375 Weiland Rd., Rochester, NY 14615 Get Directions",nan,NY,nan,585-328-2277,https://site.manheim.com/en/locations/us-locations/manheim-rochester.html,,
