name,address_street,city,state,zip,phone,website,latitude,longitude
Arlington Mobile Auction,"3217 E Abram, Arlington, TX 76010 Get Directions",nan,TX,nan,704-978-2500,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html,,
Manheim Dallas,"5333 W Kiest Blvd, Dallas, TX 75236-1055 Get Directions",nan,TX,nan,214-330-1800,https://site.manheim.com/en/locations/us-locations/manheim-dallas.html,,
Manheim Dallas-Fort Worth,"12101 Trinity Blvd, Euless, TX 76040 Get Directions",nan,TX,nan,817-399-4000,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html,,
Manheim El Paso,"485 Coates Dr, El Paso, TX 79932-1316 Get Directions",nan,TX,nan,915-833-9333,https://site.manheim.com/en/locations/us-locations/manheim-el-paso.html,,
Manheim Texas Hobby,"8215 Kopman Rd, Houston, TX 77061-5405 Get Directions",nan,TX,nan,713-649-8233,https://site.manheim.com/en/locations/us-locations/manheim-texas-hobby.html,,
Manheim Houston,"14450 West Rd, Houston, TX 77041-1103 Get Directions",nan,TX,nan,281-890-4300,https://site.manheim.com/en/locations/us-locations/manheim-houston.html,,
Hudson Oaks Mobile Auction,"Jerry Durant Auto Group, 3131 Fort Worth Highway, Hudson Oaks, TX 76087 Get Directions",nan,TX,nan,317-862-8622,https://site.manheim.com/en/locations/us-locations/manheim-dallas-fort-worth.html,,
Park Place Auto Auction Powered by Manheim,"4422 West Plano Pkwy, Plano, TX 75093 Get Directions",nan,TX,nan,817-399-4000,https://site.manheim.com/en/locations/us-locations/manheim-park-place.html,,
Manheim San Antonio,"2042 Ackerman Rd, San Antonio, TX 78219-3016 Get Directions",nan,TX,nan,210-661-4200,https://site.manheim.com/en/locations/us-locations/manheim-san-antonio.html,,
