name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Kansas City,"3901 N Skiles Ave, Kansas City, MO 64161 Get Directions",nan,MO,nan,816-452-4084,https://site.manheim.com/en/locations/us-locations/manheim-kansas-city.html,,
Manheim St. Louis,"13813 Saint Charles Rock Rd., Bridgeton, MO 63044-3824 Get Directions",nan,MO,nan,314-739-1300,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html,,
St. Louis Mobile Auction,"3705 Lemay Ferry Rd, St. Louis, MO 63125 Get Directions",nan,MO,nan,314-739-1300,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html,,
