name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Keystone Pennsylvania,"488 Firehouse Rd, Grantville, PA 17028-8912 Get Directions",nan,PA,nan,717-469-7900,https://site.manheim.com/en/locations/us-locations/manheim-keystone-pennsylvania.html,,
Manheim Pennsylvania,"1190 Lancaster Rd, Manheim, PA 17545-9746 Get Directions",nan,PA,nan,717-665-3571,https://site.manheim.com/en/locations/us-locations/manheim-pennsylvania.html,,
Manheim Philadelphia,"2280 Bethlehem Pike, Hatfield, PA 19440 Get Directions",nan,PA,nan,215-822-1935,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html,,
Manheim Pittsburgh,"21095 Route 19, Cranberry Township, PA 16066 Get Directions",nan,PA,nan,724 452-5555,https://site.manheim.com/en/locations/us-locations/manheim-pittsburgh.html,,
Reading Mobile Auction,"841 E. Wyomissing Blvd, Reading, PA 19611 Get Directions",nan,PA,nan,215-822-1935,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html,,
