name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim California,"1320 N Tustin Ave, Anaheim, CA 92807-1619 Get Directions",nan,CA,nan,714-996-2400,https://site.manheim.com/en/locations/us-locations/manheim-california.html,,
Manheim Fresno,"278 N Marks Ave, Fresno, CA 93706-1136 Get Directions",nan,CA,nan,559-268-8051,https://site.manheim.com/en/locations/us-locations/manheim-fresno.html,,
Manheim Oceanside,"4691 Calle Joven, Oceanside, CA 92057-604 Get Directions",nan,CA,nan,760-754-3600,https://site.manheim.com/en/locations/us-locations/manheim-san-diego.html,,
Manheim Riverside,"6446 Fremont St, Riverside, CA 92504-1437 Get Directions",nan,CA,nan,585-328-2277,https://site.manheim.com/en/locations/us-locations/manheim-riverside.html,,
Manheim San Francisco Bay,"29900 Auction Way, Hayward, CA 94544 Get Directions",nan,CA,nan,510-786-4500,https://site.manheim.com/en/locations/us-locations/manheim-san-francisco-bay.html,,
Manheim Southern California,"10700 Beech Ave, Fontana, CA 92337-7205 Get Directions",nan,CA,nan,909-822-2261,https://site.manheim.com/en/locations/us-locations/manheim-southern-california.html,,
