name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Fredericksburg,"120 Auction Dr, Fredericksburg, VA 22406 Get Directions",nan,VA,nan,540-368-3400,https://site.manheim.com/en/locations/us-locations/manheim-fredericksburg.html,,
Manheim Harrisonburg,"3560 Early Rd, Harrisonburg, VA 22801 Get Directions",nan,VA,nan,540-434-5991,https://site.manheim.com/en/locations/us-locations/manheim-harrisonburg.html,,
Roanoke Mobile Auction,"2711 Franklin SW, Roanoke, VA 24014 Get Directions",nan,VA,nan,540-908-5362,https://site.manheim.com/en/locations/us-locations/manheim-harrisonburg.html,,
