name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Cincinnati,"4969 Muhlhauser Rd, Hamilton, OH 45011-9789 Get directions",nan,OH,nan,513-874-9310,https://site.manheim.com/en/locations/us-locations/manheim-cincinnati.html,,
Manheim Cleveland,"5801 Engle Road,, Brook Park, Ohio 44142 Get Directions",nan,OH,nan,216-539-1701,https://site.manheim.com/en/locations/us-locations/manheim-cleveland.html,,
Manheim Ohio,"3905 Jackson Pike, Grove City, OH 43123-9731 Get Directions",nan,OH,nan,614-871-2771,https://site.manheim.com/en/locations/us-locations/manheim-ohio.html,,
