name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Darlington,"1111 Harry Byrd Highway, Darlington, SC 29532-3507 Get Directions",nan,SC,nan,843-393-2861,https://site.manheim.com/en/locations/us-locations/manheim-darlington.html,,
Manheim Greer Service Center,"101 Tungsten Blvd, Greer, SC 29651 Get Directions",nan,SC,nan,404-734-3212,https://site.manheim.com/en/locations/us-locations/manheim-greer.html,,
Lugoff Mobile Auction,"Lugoff Ford, 979 Hwy 1 South, Lugoff, SC 29078 Get Directions",nan,SC,nan,262-835-4436,https://site.manheim.com/en/locations/us-locations/manheim-darlington.html,,
