name,address_street,city,state,zip,phone,website,latitude,longitude
Manheim Atlanta,"4900 Buffington Rd., College Park, GA 30349 Get Directions",nan,GA,nan,404-762-9211,https://site.manheim.com/en/locations/us-locations/manheim-atlanta.html,,
MyCentralAuction,"6305 Peachtree Dunwoody Rd., Bldg B, Fl 6",Atlanta,GA,30328-4535,866-626-4346,https://site.manheim.com/en/locations/us-locations/mycentralauction.html,,
Manheim Georgia,"7205 Campbellton Rd SW, Atlanta, GA 30331-8144 Get Directions",nan,GA,nan,404-349-5555,https://site.manheim.com/en/locations/us-locations/manheim-georgia.html,,
Rome Auto Auction Powered by Manheim,"3824 Highway 411, Kingston, GA 30145 Get Directions",nan,GA,nan,470-339-2255,https://site.manheim.com/en/locations/us-locations/manheim-rome.html,,
